Año,Trimestre,Provincia,Hasta 512kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros,Total,Mbps (Media de bajada)
2015,3,San Luis,9,4,13286,0,0,1,2,0,13302,3.5027538715982556
2015,3,Santa Cruz,190,25,32266,2,0,0,0,0,32483,3.4806877443585873
2015,3,Santa Fe,6767,80817,363177,59531,42021,2320,1133,0,555766,4.559895452402629
2015,3,Santiago Del Estero,703,8332,23158,5956,1249,0,0,0,39398,3.911237321691457
2015,3,Tierra Del Fuego,15,285,36408,2,0,0,0,0,36710,3.4777210569327157
2015,3,Tucumán,107,23687,83654,29998,6232,623,0,0,144301,4.572318667230303
2015,2,Buenos Aires,8714,137188,2299705,243502,159921,2009,6712,0,2857754,4.463495663548014
2015,2,Capital Federal,2493,51799,990111,148569,142976,1482,9258,0,1346689,5.31214873823781
2015,2,Catamarca,15,7253,14003,3776,593,37,1,0,25678,3.6825082950385544
2015,2,Chaco,288,11058,47551,17675,6337,788,149,0,83846,5.194771414259476
2015,2,Chubut,656,6032,55791,168,0,0,0,0,62647,3.2165716474851154
2015,2,Córdoba,156,72695,434717,54993,46415,1956,903,0,611835,4.557937666200854
2015,2,Corrientes,34,12542,48015,17184,5039,379,126,0,83319,4.847197637993736
2015,2,Entre Ríos,2864,21986,104043,32293,7867,354,136,0,169543,4.55056996750087
2015,2,Formosa,1881,6907,14247,2436,1324,257,1,0,27053,3.7649156840276494
2015,2,Jujuy,2479,9474,20248,4792,730,0,0,0,37723,3.4086788431460913
2015,2,La Pampa,5737,8182,46235,27,24,25,10,0,60240,2.8626566401062417
2015,2,La Rioja,10,4082,9093,2680,641,0,3,0,16509,4.001551396208129
2015,2,Mendoza,268,26,170451,42,16,5,13,0,170821,3.4997241088624933
2015,2,Misiones,958,10360,51671,15022,10072,408,33,0,88524,5.327562649676923
2015,2,Neuquén,1755,2348,82727,214,5168,2,110,0,92324,4.059617737533036
