Provincia,Partido,Localidad,ADSL,Cablemodem,Dial up,Fibra optica,Otros,Satelital,Wimax,Wireless,Total general
Santiago Del Estero,Banda,Simbolar,0,0,0,0,0,1,0,0,1
Santiago Del Estero,Banda,Abra Grande,1,0,0,0,0,0,0,0,1
Santiago Del Estero,Banda,Chaupi Pozo,0,0,0,1,0,0,0,0,1
Santiago Del Estero,Belgrano,Bandera,0,429,0,3,0,3,0,69,504
Santiago Del Estero,Belgrano,Cuatro Bocas,0,0,0,0,0,1,0,97,98
Santiago Del Estero,Belgrano,Fortín Inca,0,0,0,0,0,1,0,111,112
Santiago Del Estero,Belgrano,Guardia Escolta,5,4,0,0,0,1,0,13,23
Santiago Del Estero,Capital,El Mojón,0,0,0,0,0,1,0,3,4
Santiago Del Estero,Capital,El Zanjón,0,0,0,0,0,1,0,96,97
Santiago Del Estero,Capital,San Pedro,0,0,0,0,250,0,0,4,254
Santiago Del Estero,Capital,Santa María,1,0,0,0,0,0,0,4,5
Santiago Del Estero,Capital,Santiago del Estero,6794,77801,2,8597,1,5,0,1707,94907
