Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija (total)
2022,2,Jujuy,4.866114588289491,19.028914895475253,35655
2022,2,La Pampa,19.024624537822167,57.74138064111578,66351
2022,2,La Rioja,6.69414481552157,25.146750505833438,25586
2022,2,Mendoza,6.930361194533681,24.834417053501838,162938
2022,2,Misiones,6.0777711559017975,22.313780587368733,76346
2022,2,Neuquén,10.681403251934181,35.88351138401487,68693
2022,2,Río Negro,8.783000656541253,28.55456355420302,67359
2022,2,Salta,6.315849893429909,26.07752510897081,86362
2022,2,San Juan,7.7616067250569065,30.46971153018594,52803
2022,2,San Luis,4.996572190039368,17.458742903626586,27706
2022,2,Santa Cruz,6.342201489584312,21.3136358649318,22986
2022,2,Santa Fe,14.45198940241021,45.96015391485445,490492
2022,2,Santiago del Estero,6.427244312209501,25.897540802822817,64909
2022,2,Tierra del Fuego,11.048295799565388,37.264107249329875,14833
2022,2,Tucumán,9.970046966718336,40.248279240048404,162823
2022,1,Buenos Aires,17.513443305133116,53.11952982147571,3062075
2022,1,Capital Federal,46.587934069869036,112.1521924500189,1432318
2022,1,Catamarca,7.27990812249949,28.619216100630464,30156
2022,1,Chaco,7.065063255392729,26.434037753637146,84821
2022,1,Chubut,9.928566268343682,32.39058659983813,61117
2022,1,Córdoba,15.441041628408836,50.43346381283755,578691
2022,1,Corrientes,7.95787712005037,30.221165689879907,88933
2022,1,Entre Ríos,13.722922638855545,45.89745868855314,189614
2022,1,Formosa,5.604281069739117,22.01923422325359,33824
2022,1,Jujuy,6.338313139464933,24.78615731423763,48682
2022,1,La Pampa,19.198510160382583,58.269477026807046,68620
2022,1,La Rioja,7.015547346297262,26.354528710528257,27488
2022,1,Mendoza,8.249692839936367,29.56234324616156,163637
2022,1,Misiones,7.267998187330889,26.68379666386982,91333
2022,1,Neuquén,9.958102699431482,33.453989449021904,65843
2022,1,Río Negro,9.587091542106872,31.169132585134456,71369
2022,1,Salta,7.688221485248035,31.74427129226129,109054
2022,1,San Juan,8.06315380815162,31.653767750206125,62767
