Año,Trimestre,Provincia,Mbps (Media de bajada),Porcentaje_Provincias_Mayor_30
2018,4,Córdoba,15.813667433629776,0.0
2018,4,Corrientes,12.138923393387724,0.0
2018,4,Entre Ríos,11.023282490376957,0.0
2018,4,Formosa,9.816893711913805,0.0
2018,4,Jujuy,8.562737601752614,0.0
2018,4,La Pampa,4.319094957943483,0.0
2018,4,La Rioja,7.093382125154895,0.0
2018,4,Mendoza,5.746675102434321,0.0
2018,4,Misiones,12.495112674155788,0.0
2018,4,Neuquén,15.89123364607043,0.0
2018,4,Río Negro,10.487005565275494,0.0
2018,4,Salta,10.45728408913591,0.0
2018,4,San Juan,5.715266539357845,0.0
2018,4,San Luis,8.818992791900516,0.0
2018,4,Santa Cruz,5.119507364772868,0.0
2018,4,Santa Fe,13.179234899969485,0.0
2018,4,Santiago Del Estero,6.309255243851745,0.0
